Movimiento,Artista,AñoNacimiento,AñoMuerte
Impresionismo,Gustave Caillebotte,1984,1894
Impresionismo,Edgar Degas,1834,1917
Impresionismo,Claude Monet,1840,1926
Impresionismo,Mary Cassatt,1844,1926
Impresionismo,Pierre-Auguste Renoir,1841,1919
Impresionismo,Alfred Sisley,1839,1899
Impresionismo,Camille Pissarro,1830,1903
Impresionismo,Auguste Rodin,1840,1917
Impresionismo,Georges Seurat,1859,1891
Impresionismo,Paul Cézanne,1839,1906
Impresionismo,Vincent van Gogh,1853,1890
Impresionismo,Paul Gauguin,1848,1903
Impresionismo,Henri Rousseau,1844,1910
Impresionismo,Henri de Toulouse-Lautrec,1864,1901
Impresionismo,Paul Signac,1863,1935
Impresionismo,André Derain,1880,1954
Impresionismo,Henri Matisse,1869,1954
Simbolismo,Edward Burne-Jones,1833,1898
Simbolismo,Odilon Redon,1840,1916
Simbolismo,Franz von Stuck,1863,1928
Simbolismo,Edvard Munch,1863,1944
Simbolismo,James Ensor,1860,1949
Simbolismo,Ferdinand Hodler,1853,1918
Simbolismo,Pablo Picasso,1881,1973
Simbolismo,Gustav Klimt,1862,1918
Simbolismo,Egon Schiele,1890,1918
Cubismo,Pablo Picasso,1881,1973
Cubismo,Georges Braque,1882,1963
Cubismo,Robert Delaunay,1885,1941
Cubismo,Marc Chagall,1887,1985
Cubismo,Albert Gleizes,1881,1953
Cubismo,Fernand Léger,1881,1955
Cubismo,Jean Metzinger,1883,1956
Cubismo,Juan Gris,1887,1927
Expresionismo,Max Pechstein,1881,1955
Expresionismo,Alexej von Jawlensky,1864,1941
Expresionismo,Erich Heckel,1883,1970
Expresionismo,Ernst Ludwig Kirchner,1880,1938
Expresionismo,Oskar Kokoschka,1886,1980
Expresionismo,Wassily Kandinsky,1866,1944
Expresionismo,Franz Marc,1880,1916
Expresionismo,Ludwig Meidner,1884,1966
Expresionismo,August Macke,1887,1914
Expresionismo,Emil Nolde,1867,1956
Expresionismo,Wilhelm Lehmbruck,1880,1919
Expresionismo,Amedeo Modigliani,1884,1920
Expresionismo,George Grosz,1893,1959
Expresionismo,Otto Dix,1891,1969
Expresionismo,Chaïm Soutine,1893,1943
Expresionismo,Lyonel Feininger,1871,1956
Futurismo,Umberto Boccioni,1882,1916
Futurismo,Gino Severini,1883,1966
Futurismo,Giacomo Balla,1871,1958
Futurismo,Carlo Carrà,1881,1966
Futurismo,Filippo Tommaso Marinetti,1876,1944
Arte Abstracto,Kazimir Malevich,1878,1935
Arte Abstracto,Alexander Rodchenko,1891,1956
Arte Abstracto,El Lissitzky,1890,1941
Arte Abstracto,László Moholy-Nagy,1895,1946
Arte Abstracto,Wassily Kandinsky,1866,1944
Arte Abstracto,Theo van Doesburg,1883,1931
Arte Abstracto,Constantin Brancusi,1876,1957
Arte Abstracto,Paul Klee,1879,1940
Arte Abstracto,Piet Mondrian,1872,1944
Dadaismo,Marcel Duchamp,1887,1968
Dadaismo,Francis Picabia,1879,1953
Dadaismo,Raoul Hausmann,1886,1971
Dadaismo,Hannah Höch,1889,1978
Dadaismo,Kurt Schwitters,1887,1948
Dadaismo,Man Ray,1890,1976
Realismo,Tamara de Lempicka,1898,1980
Realismo,Georgia O’Keeffe,1887,1986
Realismo,Max Beckmann,1884,1950
Realismo,Christian Schad,1894,1982
Realismo,Grant Wood,1891,1942
Realismo,Diego Rivera,1886,1957
Realismo,Edward Hopper,1882,1967
Realismo,Balthus,1908,2001
