TituloObra;Artista;AñoNacimiento;AñoMuerte;Movimiento;Museo
Collages 1912 - 1955;Hans Arp;1886;1966;Surrealismo;MOMA
Bildhauser Zeichen, Institut Francais Innsbruck;Hans Arp;1886;1966;Surrealismo;MOMA
Composition with Seven Elements from 23 Gravures;Hans Arp;1886;1966;Surrealismo;MOMA
Unbound plate from LE SIÈGE DE L'AIR;Hans Arp;1886;1966;Surrealismo;MOMA
LE SIÈGE DE L'AIR;Hans Arp;1886;1966;Surrealismo;MOMA
Unbound added drawing from LE SIÈGE DE L'AIR;Hans Arp;1886;1966;Surrealismo;MOMA
SOUFFLE;Hans Arp;1886;1966;Surrealismo;MOMA
Frontispiece from AUCH DAS IST NUR EINE WOLKE;Hans Arp;1886;1966;Surrealismo;MOMA
AUCH DAS IST NUR EINE WOLKE: Aus den Jahren 1920 bis 1950;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (page 27) from AUCH DAS IST NUR EINE WOLKE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (page 39) from AUCH DAS IST NUR EINE WOLKE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (page 53) from AUCH DAS IST NUR EINE WOLKE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 5) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 14) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 15) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 16) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 6) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 7) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 8) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 9) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 10) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 11) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 12) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 13) from I, RUE GABRIELLE;Hans Arp;1886;1966;Surrealismo;MOMA
Front cover from Phantastische Gebete;Hans Arp;1886;1966;Surrealismo;MOMA
Phantastiche Gebete;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 1 verso) from Phantastische Gebete;Hans Arp;1886;1966;Surrealismo;MOMA
Headpiece (folio 2) from Phantastische Gebete;Hans Arp;1886;1966;Surrealismo;MOMA
In-text plate (folio 3 verso) from Phantastische Gebete;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 5) from Phantastische Gebete;Hans Arp;1886;1966;Surrealismo;MOMA
