Artista;PapelArtista;TituloObra;FechaDeTexto;Medio;Año;AñoAdquisicion;Dimensiones;Ancho;Alto;ArtistaCatálogo;Museo
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 370 x 603 mm;370.0;603.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;Han Shan Exit;1992;Etching and aquatint on paper;1992;1992;image: 186 x 138 mm;186.0;138.0;Brice Marden;TATE
Marden, Brice;artist;Cold Mountain Series, Zen Study 3;1991;Etching and aquatint on paper;1991;1992;image: 526 x 690 mm;526.0;690.0;Brice Marden;TATE
Marden, Brice;artist;[title not known];1979;Etching and aquatint on paper;1979;1983;image: 203 x 203 mm;203.0;203.0;Brice Marden;TATE
Marden, Brice;artist;5;1986;Aquatint  on paper;1986;1987;image: 203 x 175 mm;203.0;175.0;Brice Marden;TATE
Marden, Brice;artist;14;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;24;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;Untitled;1973–9;Etching on paper;1973;1993;unconfirmed: 812 x 915 mm;812.0;915.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 600 x 370 mm;600.0;370.0;Brice Marden;TATE
Marden, Brice;artist;Cold Mountain Series, Zen Study 2;1991;Etching and aquatint on paper;1991;1992;image: 525 x 690 mm;525.0;690.0;Brice Marden;TATE
Marden, Brice;artist;16;1986;Etching and aquatint on paper;1986;1987;image: 201 x 173 mm;201.0;173.0;Brice Marden;TATE
Marden, Brice;artist;20;1986;Aquatint on paper;1986;1987;image: 200 x 177 mm;200.0;177.0;Brice Marden;TATE
Marden, Brice;artist;22;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;9;1986;Etching and aquatint on paper;1986;1987;image: 203 x 175 mm;203.0;175.0;Brice Marden;TATE
Marden, Brice;artist;3;1986;Etching and aquatint  on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;Cold Mountain Series, Zen Study 4;1991;Etching and aquatint on paper;1991;1992;image: 526 x 690 mm;526.0;690.0;Brice Marden;TATE
Marden, Brice;artist;Cold Mountain Series, Zen Study 6;1991;Etching and aquatint on paper;1991;1992;image: 526 x 690 mm;526.0;690.0;Brice Marden;TATE
Marden, Brice;artist;18;1986;Etching and aquatint on paper;1986;1987;image: 203 x 175 mm;203.0;175.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;I;1986;Watercolour on paper;1986;1987;support: 470 x 1005 mm frame: 619 x 1152 x 39 mm;470.0;1005.0;Brice Marden;TATE
Marden, Brice;artist;7;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;21;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;23;1986;Etching and aquatint on paper;1986;1987;image: 200 x 177 mm;200.0;177.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 398 x 525 mm;398.0;525.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 305 x 382 mm;305.0;382.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 375 x 602 mm;375.0;602.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;25;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 550 x 272 mm;550.0;272.0;Brice Marden;TATE
Marden, Brice;artist;Untitled (e);1973;Intaglio print on paper;1973;1975;image: 705 x 508 mm;705.0;508.0;Brice Marden;TATE
Marden, Brice;artist;Untitled (c);1973;Intaglio print on paper;1973;1975;image: 705 x 508 mm;705.0;508.0;Brice Marden;TATE
Marden, Brice;artist;15;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;Untitled (b);1973;Intaglio print on paper;1973;1975;image: 705 x 508 mm;705.0;508.0;Brice Marden;TATE
Marden, Brice;artist;Untitled (a);1973;Intaglio print on paper;1973;1975;image: 705 x 508 mm;705.0;508.0;Brice Marden;TATE
Marden, Brice;artist;19;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 352 mm;251.0;352.0;Brice Marden;TATE
Marden, Brice;artist;13;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;[title not known];1979;Etching and aquatint on paper;1979;1983;image: 203 x 203 mm;203.0;203.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 353 mm;251.0;353.0;Brice Marden;TATE
Marden, Brice;artist;Cold Mountain Series, Zen Study 5;1991;Etching and aquatint on paper;1991;1992;image: 526 x 690 mm;526.0;690.0;Brice Marden;TATE
Marden, Brice;artist;4;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
